tuning_type,tuning_value,mean_sharpe,mean_ann_return,mean_hit_ratio
dmodel,32.0,0.2396972645512213,0.11518809196121947,0.5251627870936105
dmodel,64.0,0.10199537155457133,0.08833851672631647,0.5108438572023786
dmodel,128.0,-0.18046485548074342,-0.05168325624598405,0.512114399976801
dmodel,256.0,-0.3611912635822078,-0.1620026435514052,0.4862174258009138
dropout,0.2,0.2849135755561755,0.1173010605361795,0.5199718406857885
dropout,0.3,0.10199537155457133,0.08833851672631647,0.5108438572023786
dropout,0.4,0.01682617439883023,0.022437291284133822,0.5187040427377347
dropout,0.1,-0.14104824713434583,-0.12267317020940026,0.51439609600707
dropout,0.5,-0.21922164651980725,-0.08306900438957303,0.5094725251575887
horizon,1.0,0.10882931271884144,0.10616149624736763,0.5174614402633131
horizon,5.0,-0.029870782114856706,-0.021768529052425926,0.5177373806843296
horizon,21.0,-0.04489498499880637,-0.037629758326472994,0.5063896290448489
horizon,3.0,-0.054759843553762864,-0.025532806227954192,0.5138529693425842
horizon,10.0,-0.20641036658701362,-0.05621902455998267,0.510795857123502
lr,0.005,0.010166611503932107,-0.0225593671788247,0.5197485622536944
lr,0.0001,-0.019714481778388453,0.017548285543695592,0.5096109504179756
lr,0.001,-0.029870782114856706,-0.021768529052425926,0.5177373806843296
lr,0.01,-0.06189531217617488,-0.05165971488174847,0.5170536824728487
lr,0.0005,-0.2911806302867117,-0.13462308725644123,0.5067664364790508
seqlen,128.0,0.11857293641210753,0.040791288927334184,0.5076670513621351
seqlen,256.0,0.09826842875575109,0.01323232618246659,0.5070338325978887
seqlen,512.0,-0.029870782114856706,-0.021768529052425926,0.5177373806843296
