fold,horizon,n_samples,mse,mae,correlation,direction_accuracy
fold0,0,1490,0.0007026827056051447,0.018655701051282378,0.007983676085760732,0.5
fold0,1,1490,0.000721901421413537,0.019072534217170534,-0.018162240900769285,0.47315436241610737
fold0,2,1490,0.0007404665013235358,0.01926751796550008,-0.05928487191440195,0.46442953020134226
fold0,3,1490,0.0007031140531591521,0.018680173735839335,-0.011423308329553343,0.49328859060402686
fold0,4,1490,0.0007059631231423472,0.018666955072821206,-0.01853425000151054,0.48456375838926175
fold0,5,1490,0.0007401854482194363,0.01916249856349093,-0.05779380898861203,0.4899328859060403
fold1,0,1704,0.00047969800601051953,0.01587262062949524,-0.030351833767852828,0.5082159624413145
fold1,1,1704,0.0004752876803095752,0.01583486734808078,-0.007853242728982714,0.5117370892018779
fold1,2,1704,0.000490509686455042,0.016146786555812306,-0.0260715610838327,0.49061032863849763
fold1,3,1704,0.0004781917143721908,0.015806630238981784,-0.018259031917301178,0.5123239436619719
fold1,4,1704,0.0004918091776262665,0.016147542043811004,-0.05186236219455989,0.5052816901408451
fold1,5,1704,0.0004766362123282722,0.01580777030799479,-0.03684597188883128,0.5181924882629108
fold2,0,1918,0.0008979606539996946,0.01857160225775378,-0.026404661037862175,0.5005213764337852
fold2,1,1918,0.0008985758636335676,0.018610843972201314,-0.017743146507855495,0.5083420229405631
fold2,2,1918,0.0009261910390176741,0.018969493109277293,-0.06445478312274268,0.48175182481751827
fold2,3,1918,0.000897434624165494,0.01846463724845779,-0.017601845945626617,0.5072992700729927
fold2,4,1918,0.0009074623042020954,0.018730358993362634,0.01762689378889223,0.5156412930135558
fold2,5,1918,0.0009081328280904043,0.01859214837006292,-0.028772887183418507,0.5078206465067779
fold3,0,2132,0.0007756324891702933,0.01665429482012972,-0.012259824594431071,0.5060975609756098
fold3,1,2132,0.0007780919912448247,0.01663515011771176,0.004590715905044005,0.5196998123827392
fold3,2,2132,0.0007699169835782105,0.016896247982673678,0.0034802744590931387,0.5098499061913696
fold3,3,2132,0.0007685634403124216,0.01681085547555894,0.002403717614585807,0.5140712945590994
fold3,4,2132,0.000772566204819299,0.016671553482748715,-0.012737963715690179,0.5150093808630394
fold3,5,2132,0.0007712492442388264,0.016690620952508926,0.0055654201232778425,0.5126641651031895
